Ems_loss_v: 0.002204270	ST_loss: 26.108592987	LT_loss: 62.478610992	loss: 0.002292857
Train Epoch:1	Percent:[0/7500000 (0%)]	Loss:0.002292857
Ems_loss_v: 0.001919227	ST_loss: 22.996025085	LT_loss: 21.531555176	loss: 0.001963754
Ems_loss_v: 0.001616599	ST_loss: 23.671070099	LT_loss: 22.953310013	loss: 0.001663223
Ems_loss_v: 0.001791655	ST_loss: 26.474372864	LT_loss: 39.301197052	loss: 0.001857431
Ems_loss_v: 0.001916813	ST_loss: 21.953943253	LT_loss: 11.797945976	loss: 0.001950565
Ems_loss_v: 0.001957569	ST_loss: 24.122776031	LT_loss: 24.004863739	loss: 0.002005697
Ems_loss_v: 0.002759616	ST_loss: 30.471735001	LT_loss: 29.062932968	loss: 0.002819151
Ems_loss_v: 0.001583947	ST_loss: 31.326358795	LT_loss: 25.533916473	loss: 0.001640807
Ems_loss_v: 0.002114225	ST_loss: 22.716661453	LT_loss: 22.233634949	loss: 0.002159175
Ems_loss_v: 0.001988749	ST_loss: 21.536142349	LT_loss: 25.580707550	loss: 0.002035865
Ems_loss_v: 0.002572991	ST_loss: 23.844762802	LT_loss: 23.133459091	loss: 0.002619969
Ems_loss_v: 0.002097898	ST_loss: 19.704132080	LT_loss: 0.248295084	loss: 0.002117850
Ems_loss_v: 0.002286507	ST_loss: 23.034545898	LT_loss: 21.159469604	loss: 0.002330701
Ems_loss_v: 0.002054290	ST_loss: 23.190855026	LT_loss: 0.243897423	loss: 0.002077725
Ems_loss_v: 0.002341549	ST_loss: 30.406446457	LT_loss: 35.626621246	loss: 0.002407582
Ems_loss_v: 0.001825272	ST_loss: 28.205043793	LT_loss: 27.927600861	loss: 0.001881405
Ems_loss_v: 0.001593542	ST_loss: 22.222614288	LT_loss: 32.642696381	loss: 0.001648408
Ems_loss_v: 0.001341312	ST_loss: 17.850322723	LT_loss: 5.601761818	loss: 0.001364764
Ems_loss_v: 0.001668422	ST_loss: 22.747245789	LT_loss: 18.615354538	loss: 0.001709785
Ems_loss_v: 0.002163738	ST_loss: 27.000757217	LT_loss: 21.864191055	loss: 0.002212602
Ems_loss_v: 0.001890956	ST_loss: 23.478164673	LT_loss: 19.526950836	loss: 0.001933961
Ems_loss_v: 0.001989279	ST_loss: 24.140975952	LT_loss: 29.301031113	loss: 0.002042721
Ems_loss_v: 0.001956488	ST_loss: 24.590486526	LT_loss: 24.992927551	loss: 0.002006071
Ems_loss_v: 0.002698669	ST_loss: 25.494859695	LT_loss: 20.854326248	loss: 0.002745019
Ems_loss_v: 0.002159220	ST_loss: 22.572944641	LT_loss: 24.797487259	loss: 0.002206590
Ems_loss_v: 0.002709170	ST_loss: 27.278480530	LT_loss: 22.317512512	loss: 0.002758766
Ems_loss_v: 0.002127924	ST_loss: 30.203916550	LT_loss: 7.721490383	loss: 0.002165850
Ems_loss_v: 0.002226290	ST_loss: 23.388359070	LT_loss: 25.462562561	loss: 0.002275140
Ems_loss_v: 0.002049799	ST_loss: 25.081478119	LT_loss: 19.163383484	loss: 0.002094044
Ems_loss_v: 0.002393564	ST_loss: 26.177791595	LT_loss: 23.234502792	loss: 0.002442976
Ems_loss_v: 0.001751082	ST_loss: 29.864450455	LT_loss: 29.900043488	loss: 0.001810847
Ems_loss_v: 0.002452651	ST_loss: 26.244585037	LT_loss: 26.823617935	loss: 0.002505720
Ems_loss_v: 0.001992200	ST_loss: 28.424306870	LT_loss: 29.510564804	loss: 0.002050135
Ems_loss_v: 0.002249570	ST_loss: 24.624052048	LT_loss: 27.664289474	loss: 0.002301859
Ems_loss_v: 0.002304350	ST_loss: 24.563156128	LT_loss: 22.932067871	loss: 0.002351845
Ems_loss_v: 0.002547280	ST_loss: 23.410411835	LT_loss: 30.344287872	loss: 0.002601035
Ems_loss_v: 0.002477043	ST_loss: 22.406358719	LT_loss: 5.096428394	loss: 0.002504546
Ems_loss_v: 0.001882990	ST_loss: 26.251541138	LT_loss: 19.123611450	loss: 0.001928366
Ems_loss_v: 0.001845791	ST_loss: 24.215251923	LT_loss: 0.100009829	loss: 0.001870106
Ems_loss_v: 0.002201753	ST_loss: 26.507177353	LT_loss: 29.965801239	loss: 0.002258226
Ems_loss_v: 0.002342043	ST_loss: 26.922740936	LT_loss: 5.502208233	loss: 0.002374468
Ems_loss_v: 0.002444141	ST_loss: 24.174514771	LT_loss: 3.800952911	loss: 0.002472117
